#Deutsch	Furigana	Romaji	Type	Baseform	Romaji  
einhundert	百[ひゃく]	hyaku	Vokabel-Num		
elf	十[じゅう]一[いち]	juu ichi	Vokabel-Num		
Mittagessen	昼[ひる]ご 飯[はん]	hirugohan	Vokabel-Nomen		
Bento-Box (jap. Lunch-Box)	弁[べん]当[とう]	bentou	Vokabel-Nomen		
acht	八[はち]	hachi	Vokabel-Num		
eintausend	千[せん]	sen	Vokabel-Num		
neun Uhr	九[く]時[じ]	ku ji	Vokabel-Expr		
Abendessen /formell/	晩[ばん]ご 飯[はん]	bangohan	Vokabel-Nomen		
jeden Abend	毎[まい]晩[ばん]	maiban	Vokabel-Adverb		
zweitausend	二[に]千[せん]	ni sen	Vokabel-Num		
zweihundert	二[に]百[ひゃく]	ni hyaku	Vokabel-Num		
dreihundert	三[さん]百[ひゃく]	san hyaku	Vokabel-Num		
Wie ist (es in) Tokio?	東[とう]京[きょう] は どう です か。	Toukyou wa dou desu ka.	Beispielsatz		
Toronto ist auch eine große Stadt.	トロント も 大[おお]きい 都[と]市[し] です。	Toronto mo ookii toshi desu.	Beispielsatz		
Siehst du fern?	テレビ を 見[み]ます か。	Terebi o mimasu ka.	Beispielsatz		
Siehst du oft fern?	よく テレビ を 見[み]ます か。	Yoku terebi o mimasu ka.	Beispielsatz		
Ich sehe oft fern.	よく テレビ を 見[み]ます。	Yoku terebi o mimasu.	Beispielsatz		
Schaust du Filme?	映[えい]画[が] を 見[み]ます か。	Eiga o mimasu ka.	Beispielsatz		
Ich spiele Fußball.	サッカー を します。	Sakkaa o shimasu.	Beispielsatz		
Spielst du Fußball?	サッカー を します か。	Sakkaa o shimasu ka.	Beispielsatz		
Spielst du oft Basketball?	よく バスケットボール を します か。	Yoku basukettobooru o shimasu ka.	Beispielsatz		
Ich schaue manchmal Fußball.	時々[ときどき] サッカー を 見[み]ます。	Tokidoki sakkaa o mimasu.	Beispielsatz		
Ja, ich spiele manchmal Fußball.	はい、 時々[ときどき]サッカー を します。	Hai, tokidoki sakkaa o shimasu.	Beispielsatz		
Ich höre Musik.	音[おん]楽[がく] を 聞[き]きます。	Ongaku o kikimasu.	Beispielsatz		
Ich höre Rock-Musik.	ロック を 聞[き]きます。	Rokku o kikimasu.	Beispielsatz		
Hörst du Musik?	音[おん]楽[がく] を 聞[き]きます か。	Ongaku o kikimasu ka.	Beispielsatz		
Ja, ich höre manchmal Jazz.	はい、 時々[ときどき]ジャズ を 聞[き]きます。	Hai, tokidoki jazu o kikimasu.	Beispielsatz		
Schaust du dir die Nachrichten an?	ニュース を 見[み]ます か。	Nyuusu o mimasu ka.	Beispielsatz		
Ich lese Bücher.	本[ほん] を 読[よ]みます。	Hon o yomimasu.	Beispielsatz		
Ich lese oft die Nachrichten.	よく ニュース を 読[よ]みます。	Yoku nyuusu o yomimasu.	Beispielsatz		
Liest du Bücher?	本[ほん] を 読[よ]みます か。	Hon o yomimasu ka.	Beispielsatz		
Lesen Sie oft Zeitschriften?	よく 雑[ざっ]誌[し] を 読[よ]みます か。	Yoku zasshi o yomimasu ka.	Beispielsatz		
Ich schaue Anime.	アニメ を 見[み]ます。	Anime o mimasu.	Beispielsatz		
Ich lese Manga.	漫[まん]画[が] を 読[よ]みます。	Manga o yomimasu.	Beispielsatz		
Hörst du manchmal J-Pop?	時々[ときどき] Jポップ を 聞[き]きます か。	Tokidoki J-poppu o kikimasu ka.	Beispielsatz		
Naomi schaut fern.	直美[なおみ] さん は テレビ を 見[み]ます。	Naomi-san wa terebi o mimasu.	Beispielsatz		
Herr Tanaka hört die Nachrichten.	田[た]中[なか] さん は ニュース を 聞[き]きます。	Tanaka-san wa nyuusu o kikimasu.	Beispielsatz		
Frau Nakayama spielt oft Baseball.	中[なか]山[やま] さん は よく 野[や]球[きゅう] を します。	Nakayama-san wa yoku yakyuu o shimasu.	Beispielsatz		
Mein Vater ist beschäftigt.	父[ちち] は 忙[いそが]しい です。	Chichi wa isogashii desu.	Beispielsatz		
New York ist keine kleine Stadt.	ニューヨーク は 小[ちい]さい 都[と]市[し] じゃないです。	Nyuuyooku wa chiisai toshi janai desu.	Beispielsatz		
Das Brot ist köstlich.	パン は おいしい です。	Pan wa oishii desu.	Beispielsatz		
Es ist ein großes Sandwich.	大[おお]きい サンドイッチ です。	Ookii sandoitchi desu.	Beispielsatz		
Isst du Sushi?	寿[す]司[し] を 食[た]べます か。	Sushi o tabemasu ka.	Beispielsatz		
Essen Sie oft Pizza?	よく ピザ を 食[た]べます か。	Yoku piza o tabemasu ka.	Beispielsatz		
Isst du jeden Tag Reis?	毎[まい]日[にち] ご 飯[はん] を 食[た]べます か。	Mainichi gohan o tabemasu ka.	Beispielsatz		
Ich esse jeden Tag Pizza.	毎[まい]日[にち] ピザ を 食[た]べます。	Mainichi piza o tabemasu.	Beispielsatz		
Trinken Sie Kaffee?	コーヒー を 飲[の]みます か。	Koohii o nomimasu ka.	Beispielsatz		
Ich trinke oft grünen Tee.	よく お 茶[ちゃ] を 飲[の]みます。	Yoku ocha o nomimasu.	Beispielsatz		
Nein, ich trinke grünen Tee.	いいえ、 お 茶[ちゃ] を 飲[の]みます。	Iie, ocha o nomimasu.	Beispielsatz		
Ja, ich trinke oft Wasser.	はい、 よく 水[みず] を 飲[の]みます。	Hai, yoku mizu o nomimasu.	Beispielsatz		
Trinken Sie Saft?	ジュース を 飲[の]みます か。	Juusu o nomimasu ka.	Beispielsatz		
Ich sehe jeden Morgen fern.	毎[まい]朝[あさ] テレビ を 見[み]ます。	Maiasa terebi o mimasu.	Beispielsatz		
Trinken Sie jeden Morgen Saft?	毎[まい]朝[あさ] ジュース を 飲[の]みます か。	Maiasa juusu o nomimasu ka.	Beispielsatz		
Ich esse jeden Morgen Curry.	毎[まい]朝[あさ] カレー を 食[た]べます。	Maiasa karee o tabemasu.	Beispielsatz		
Es ist ein köstliches Frühstück.	おいしい 朝[あさ]ご 飯[はん] です。	Oishii asagohan desu.	Beispielsatz		
Ich esse um sieben Uhr Brot.	七[しち]時[じ] に パン を 食[た]べます。	Shichi ji ni pan o tabemasu.	Beispielsatz		
Ich esse um sieben Uhr Frühstück.	七[しち]時[じ] に 朝[あさ]ご 飯[はん] を 食[た]べます。	Shichi ji ni asagohan o tabemasu.	Beispielsatz		
Ken trinkt um zwei Uhr Kaffee.	けん さん は 二[に]時[じ] に コーヒー を 飲[の]みます。	Ken-san wa ni ji ni koohii o nomimasu.	Beispielsatz		
Naomi isst um drei Uhr Pizza.	直美[なおみ] さん は 三[さん]時[じ] に ピザ を 食[た]べます。	Naomi-san wa san ji ni piza o tabemasu.	Beispielsatz		
Jener Arzt trinkt um ein Uhr Kaffee.	その 医[い]者[しゃ] は 一[いち] 時[じ] に コーヒー を 飲[の]みます。	Sono isha wa ichi ji ni koohii o nomimasu.	Beispielsatz		
Ich esse um ein Uhr Mittagessen.	一[いち] 時[じ] に 昼[ひる]ご 飯[はん] を 食[た]べます。	Ichi ji ni hirugohan o tabemasu.	Beispielsatz		
Ich trinke um zehn Uhr Tee.	十[じゅう] 時[じ] に お 茶[ちゃ] を 飲[の]みます。	Juu ji ni ocha o nomimasu.	Beispielsatz		
Essen Sie oft Bento-Boxen?	よく 弁[べん]当[とう] を 食[た]べます か。	Yoku bentou o tabemasu ka.	Beispielsatz		
Ich esse um zwölf Uhr Kuchen.	十[じゅう]二[に] 時[じ] に ケーキ を 食[た]べます。	Juu ni ji ni keeki o tabemasu.	Beispielsatz		
Ich esse um elf Uhr Ramen.	十[じゅう]一[いち] 時[じ] に ラーメン を 食[た]べます。	Juu ichi ji ni raamen o tabemasu.	Beispielsatz		
Ich esse um sieben Uhr zu Abend.	七[しち]時[じ] に 晩[ばん]ご 飯[はん] を 食[た]べます。	Shichi ji ni bangohan o tabemasu.	Beispielsatz		
Ich lese jeden Abend ein Buch.	毎[まい]晩[ばん] 本[ほん] を 読[よ]みます。	Maiban hon o yomimasu.	Beispielsatz		
Ich schaue um acht Uhr Anime.	八[はち] 時[じ] に アニメ を 見[み]ます。	Hachi ji ni anime o mimasu.	Beispielsatz		
Ken liest um 8:30 Uhr Manga.	けん さん は 八[はち] 時[じ] 半[はん] に 漫[まん]画[が] を 読[よ]みます。	Ken-san wa hachi ji han ni manga o yomimasu.	Beispielsatz		
Wie spät ist es jetzt?	今[いま] 何[なん]時[じ] です か。	Ima nanji desu ka.	Beispielsatz		
Dies ist nicht mein Mittagessen.	これ は 私[わたし]の 昼[ひる]ご 飯[はん] じゃないです。	Kore wa watashi no hirugohan janai desu.	Beispielsatz		
Manchmal esse ich Sushi.	時々[ときどき] 寿[す]司[し] を 食[た]べます。	Tokidoki sushi o tabemasu.	Beispielsatz		
Ich trinke jeden Morgen Kaffee.	毎[まい]朝[あさ] コーヒー を 飲[の]みます。	Maiasa koohii o nomimasu.	Beispielsatz		
Essen Sie um neun Uhr zu Abend?	九[く]時[じ] に 晩[ばん]ご 飯[はん] を 食[た]べます か。	Ku ji ni bangohan o tabemasu ka.	Beispielsatz		
Nein, ich esse um acht Uhr zu Abend.	いいえ、 八[はち] 時[じ] に 晩[ばん]ご 飯[はん] を 食[た]べます。	Iie, hachi ji ni bangohan o tabemasu.	Beispielsatz		
Essen Sie jeden Tag eine große Pizza?	毎[まい]日[にち] 大[おお]きい ピザ を 食[た]べます か。	Mainichi ookii piza o tabemasu ka.	Beispielsatz		
Schauen Sie jeden Abend Anime?	毎[まい]晩[ばん] アニメ を 見[み]ます か。	Maiban anime o mimasu ka.	Beispielsatz		
Herr Tanaka trinkt um elf Uhr Kaffee.	田[た]中[なか] さん は 十[じゅう]一[いち] 時[じ] に コーヒー を 飲[の]みます。	Tanaka-san wa juu ichi ji ni koohii o nomimasu.	Beispielsatz		
alt /Sachen/	古[ふる]い	furui	Vokabel-Adj-i		
Geldbörse	財[さい]布[ふ]	saifu	Vokabel-Nomen		
Kleidung /meist westliche/	服[ふく]	fuku	Vokabel-Nomen		
uncool, unmodisch, abscheulich	ダサい	dasai	Vokabel-Adj-i		
ein wenig; nicht wirklich (mögen); danke nein	ちょっと	chotto	Vokabel-Sonst		
neu, modern	新[あたら]しい	atarashii	Vokabel-Adj-i		
T-Shirt	Ｔシャツ	T-shatsu	Vokabel-Katakana		
Rock	スカート	sukaato	Vokabel-Katakana		
wünschend; haben wollend	欲[ほ]しい	hoshii	Vokabel-Adj-i		
/Subjekt-Partikel, betont Vorhergehendes/	が	ga	Vokabel-Part		
nicht wahr?; finden Sie nicht auch?	ね	ne	Vokabel-Part		
Kleid	ドレス	doresu	Vokabel-Katakana		
blau	青[あお]い	aoi	Vokabel-Adj-i		
jene(r,s) … dort drüben /vor Nomen/	あの	ano	Vokabel-Pron		
prima, schön, herrlich, wunderbar	素敵[すてき]	suteki	Vokabel-Adj-na		
gut, nett, schön	いい	ii	Vokabel-Adj-i		
Krawatte	ネクタイ	nekutai	Vokabel-Katakana		
billig, preiswert	安[やす]い	yasui	Vokabel-Adj-i		
wie viel?	いくら	ikura	Vokabel-Adverb		
Yen /jap. Geldeinheit/	円[えん]	en	Vokabel-Nomen		
Jacke	ジャケット	jaketto	Vokabel-Katakana		
schwarz	黒[くろ]い	kuroi	Vokabel-Adj-i		
Geschäft, Laden, Restaurant	店[みせ]	mise	Vokabel-Nomen		
hoch, teuer	高[たか]い	takai	Vokabel-Adj-i		
vielen Dank; herzlichen Dank	ありがとう ございます	arigatou gozaimasu	Vokabel-Expr		
Dies ist alt.	これ は 古[ふる]い です。	Kore wa furui desu.	Beispielsatz		
Meine Kleidung ist uncool.	私[わたし]の 服[ふく] は ダサい です。	Watashi no fuku wa dasai desu.	Beispielsatz		
Dieser Mantel ist unmodisch.	この コート は ダサい です。	Kono kooto wa dasai desu.	Beispielsatz		
Diesen Mantel mag ich nicht wirklich.	この コート は ちょっと。	Kono kooto wa chotto.	Beispielsatz		
Es ist eine alte Geldbörse.	古[ふる]い 財[さい]布[ふ] です。	Furui saifu desu.	Beispielsatz		
Ich möchte süße Schuhe.	かわいい 靴[くつ] が 欲[ほ]しい です。	Kawaii kutsu ga hoshii desu.	Beispielsatz		
Ich möchte neue Schuhe.	新[あたら]しい 靴[くつ] が 欲[ほ]しい です。	Atarashii kutsu ga hoshii desu.	Beispielsatz		
Diese Tasche ist süß, nicht wahr?	この 鞄[かばん] は かわいい です ね。	Kono kaban wa kawaii desu ne.	Beispielsatz		
Frau Nakayamas Tasche ist cool, nicht wahr?	中[なか]山[やま] さん の 鞄[かばん] は かっこいい です ね。	Nakayama-san no kaban wa kakkoii desu ne.	Beispielsatz		
Dieses T-Shirt ist neu, nicht wahr?	この Ｔシャツ は 新[あたら]しい です ね。	Kono T-shatsu wa atarashii desu ne.	Beispielsatz		
Ich möchte diesen roten Rock.	この 赤[あか]い スカート が 欲[ほ]しい です。	Kono akai sukaato ga hoshii desu.	Beispielsatz		
Das Kleid meiner älteren Schwester ist rot.	姉[あね] の ドレス は 赤[あか]い です。	Ane no doresu wa akai desu.	Beispielsatz		
Kens blaues T-Shirt mag ich nicht wirklich.	けん さん の 青[あお]いＴシャツ は ちょっと。	Ken-san no aoi T-shatsu wa chotto.	Beispielsatz		
Ich möchte den Hut dort.	あの 帽子[ぼうし] が 欲[ほ]しい です。	Ano boushi ga hoshii desu.	Beispielsatz		
Blaue Mäntel mag ich nicht wirklich.	青[あお]い コート は ちょっと。	Aoi kooto wa chotto.	Beispielsatz		
Dieser Regenschirm ist prima, nicht wahr?	この 傘[かさ] は 素敵[すてき] です ね。	Kono kasa wa suteki desu ne.	Beispielsatz		
Hanas Regenschirm ist schön, nicht wahr?	花[はな] さん の 傘[かさ] は いい です ね。	Hana-san no kasa wa ii desu ne.	Beispielsatz		
Ich möchte das niedliche Kleid dort.	あの かわいい ドレス が 欲[ほ]しい です。	Ano kawaii doresu ga hoshii desu.	Beispielsatz		
Kens neue Geldbörse ist schön, nicht wahr?	けん さん の 新[あたら]しい 財[さい]布[ふ] は いい です ね。	Ken-san no atarashii saifu wa ii desu ne.	Beispielsatz		
Ich möchte einen neuen Rock.	新[あたら]しい スカート が 欲[ほ]しい です。	Atarashii sukaato ga hoshii desu.	Beispielsatz		
Ich möchte Kens neue Krawatte.	けん さん の 新[あたら]しい ネクタイ が 欲[ほ]しい です。	Ken-san no atarashii nekutai ga hoshii desu.	Beispielsatz		
Ist der Regenschirm dort billig?	あの 傘[かさ] は 安[やす]い です か。	Ano kasa wa yasui desu ka.	Beispielsatz		
Dieser blaue Hut ist billig, nicht wahr?	この 青[あお]い 帽子[ぼうし] は 安[やす]い です ね。	Kono aoi boushi wa yasui desu ne.	Beispielsatz		
Verzeihung, wie viel kostet das?	すみません、 これ は いくら です か。	Sumimasen, kore wa ikura desu ka.	Beispielsatz		
Dies kostet 200 Yen.	これ は 二[に]百[ひゃく] 円[えん] です。	Kore wa ni hyaku en desu.	Beispielsatz		
Dieses süße T-Shirt kostet 400 Yen!	この かわいいＴシャツ は 四[よん] 百[ひゃく] 円[えん] です！	Kono kawaii T-shatsu wa yon hyaku en desu!	Beispielsatz		
Wie viel kostet der blaue Regenschirm dort?	あの 青[あお]い 傘[かさ] は いくら です か。	Ano aoi kasa wa ikura desu ka.	Beispielsatz		
Wie viel kosten die schwarzen Schuhe?	黒[くろ]い 靴[くつ] は いくら です か。	Kuroi kutsu wa ikura desu ka.	Beispielsatz		
Dieser Laden ist gut, nicht wahr?	この 店[みせ] は いい です ね。	Kono mise wa ii desu ne.	Beispielsatz		
Teure Kleidung mag ich nicht wirklich.	高[たか]い 服[ふく] は ちょっと。	Takai fuku wa chotto.	Beispielsatz		
Diese Jacke kostet 4000 Yen.	この ジャケット は 四[よん] 千[せん] 円[えん] です。	Kono jaketto wa yon sen en desu.	Beispielsatz		
Wie viel kostet die schwarze Jacke dort?	あの 黒[くろ]い ジャケット は いくら です か。	Ano kuroi jaketto wa ikura desu ka.	Beispielsatz		
Der preiswerte Laden dort ist gut, nicht wahr?	あの 安[やす]い 店[みせ] は いい です ね。	Ano yasui mise wa ii desu ne.	Beispielsatz		
Das niedliche Kleid dort kostet 2000 Yen.	あの かわいい ドレス は 二[に]千[せん] 円[えん] です。	Ano kawaii doresu wa ni sen en desu.	Beispielsatz		
Restaurant	レストラン	resutoran	Vokabel-Katakana		
Udon /dicke jap. Weizennudeln/	うどん	udon	Vokabel-Nomen		
Tempura /fritt. Fisch und Gemüse in leichtem Teig/	天[てん]ぷら	tenpura	Vokabel-Nomen		
Menü, Gedeck	定[てい]食[しょく]	teishoku	Vokabel-Nomen		
ah, oh	あ	a	Vokabel-Interj		
dann, also, so, na dann	じゃあ	jaa	Vokabel-Sonst		
ein (Ding)	一[ひと]つ	hitotsu	Vokabel-Num		
zwei (Dinge)	二[ふた]つ	futatsu	Vokabel-Num		
vier (Dinge)	四[よっ]つ	yottsu	Vokabel-Num		
nun, ja, also, äh	ええと	eeto	Vokabel-Sonst		
Onigiri /Reisbällchen, oft 3-eckig in Nori (Algenbl.)/	おにぎり	onigiri	Vokabel-Nomen		
drei (Dinge)	三[みっ]つ	mittsu	Vokabel-Num		
Salat	サラダ	sarada	Vokabel-Katakana		
Miso-Suppe	味[み]噌[そ]汁[しる]	miso shiru	Vokabel-Nomen		
Nähe, Nachbarschaft, nahe, neben; Soba /jap. Buchweizen-Nudeln/	そば	soba	Vokabel-Nomen		
Eiscreme	アイスクリーム	aisukuriimu	Vokabel-Katakana		
schwarzer Tee	紅[こう]茶[ちゃ]	koocha	Vokabel-Nomen		
ein wenig, ein bisschen	少[すこ]し	sukoshi	Vokabel-Adverb		
Eis, Eiscreme	アイス	aisu	Vokabel-Katakana		
schwimmen /höflich/	泳[およ]ぎます	oyogimasu	Vokabel-Verb-5st	泳[およ]ぐ	oyogu
allein, für mich selbst	一[ひと]人[り]で	hitori de	Vokabel-Expr		
Wochenende	週[しゅう]末[まつ]	shuumatsu	Vokabel-Nomen		
(TV-) Drama, Schauspiel, Seifenoper	ドラマ	dorama	Vokabel-Katakana		
Zeit vertreiben, abhängen, spielen /höflich/	遊[あそ]びます	asobimasu	Vokabel-Verb-5st	遊[あそ]ぶ	asobu
Freund	友[とも]達[だち]	tomodachi	Vokabel-Nomen		
Sport	スポーツ	supootsu	Vokabel-Katakana		
Yoga	ヨガ	yoga	Vokabel-Katakana		
kaufen /höflich/	買[か]います	kaimasu	Vokabel-Verb-5st	買[か]う	kau
Samstag, Sonnabend	土[ど]曜[よう]日[び]	doyoubi	Vokabel-Nomen		
Karate /jap. Kampfkunst/	空[から]手[て]	karate	Vokabel-Nomen		
Videospiel	ゲーム	geemu	Vokabel-Katakana		
rausgehen, ausgehen, losgehen /höflich/	出[で]かけます	dekakemasu	Vokabel-Verb-1st	出[で]かける	dekakeru
sagen, sprechen, reden /höflich/	話[はな]します	hanashimasu	Vokabel-Verb-5st	話[はな]す	hanasu
Sonntag	日[にち]曜[よう]日[び]	nichiyoubi	Vokabel-Nomen		
Tennis	テニス	tenisu	Vokabel-Katakana		
Judo /jap. Kampfkunst/	柔[じゅう]道[どう]	juodou	Vokabel-Nomen		
Video, Videoclip	動[どう]画[が]	douga	Vokabel-Nomen		
Willkommen /in Läden, Restaurants/	いらっしゃいませ	irasshaimase	Vokabel-Interj		
Dieses Restaurant ist schön, nicht wahr?	この レストラン は いい です ね。	Kono resutoran wa ii desu ne.	Beispielsatz		
Die Udon kosten 400 Yen.	うどん は 四[よん] 百[ひゃく] 円[えん] です。	Udon wa yon hyaku en desu.	Beispielsatz		
Udon, bitte.	うどん を ください。	Udon o kudasai.	Beispielsatz		
Verzeihung, Kaffee, bitte.	すみません、 コーヒー を ください。	Sumimasen, koohii o kudasai.	Beispielsatz		
Diese Tempura, bitte.	この 天[てん]ぷら を ください。	Kono tenpura o kudasai.	Beispielsatz		
Die Tempura kostet 500 Yen.	天[てん]ぷら は 五[ご] 百[ひゃく] 円[えん] です。	Tenpura wa go hyaku en desu.	Beispielsatz		
Wie viel kostet das Sushi-Menü?	寿[す]司[し] 定[てい]食[しょく] は いくら です か。	Sushi teishoku wa ikura desu ka.	Beispielsatz		
Wie viel kostet das Ramen-Menü?	ラーメン 定[てい]食[しょく] は いくら です か。	Raamen teishoku wa ikura desu ka.	Beispielsatz		
Oh, Wasser, bitte.	あ、 水[みず] を ください。	A, mizu o kudasai.	Beispielsatz		
Dann eine Pizza. bitte.	じゃあ、 ピザ を ください。	Jaa, piza o kudasai.	Beispielsatz		
Einen Kaffee, bitte.	コーヒー を 一[ひと]つ ください。	Koohii o hitotsu kudasai.	Beispielsatz		
Einen Saft, bitte.	ジュース を 一[ひと]つ ください。	Juusu o hitotsu kudasai.	Beispielsatz		
Zwei Kaffee, bitte.	コーヒー を 二[ふた]つ ください。	Koohii o futatsu kudasai.	Beispielsatz		
Zwei Udon-Menüs, bitte.	うどん 定[てい]食[しょく] を 二[ふた]つ ください。	Udon teishoku o futatsu kudasai.	Beispielsatz		
Vier Wasser, bitte.	水[みず] を 四[よっ]つ ください。	Mizu o yottsu kudasai.	Beispielsatz		
